RefSeq Protein Accession	Gene ID
NP_112214	81788
NP_060686	55229
NP_001073866	50651
NP_078985	79762
NP_055203	27042
NP_057095	51102
NP_001002292	79971
NP_056455	26135
NP_683707	114883
NP_075259	2263
NP_689856	85442
NP_056446	26123
NP_996744	10579
NP_000132	2263
NP_058634	30008
NP_620591	10077
NP_703151	219541
NP_037534	3992
NP_009104	11098
NP_001070709	283130
NP_001005270	283093
NP_001265179	283130
NP_001166	397
NP_001013712	401720
NP_005362	4234
NP_000710	775
NP_002196	3678
NP_075422	4234
NP_057377	51411
NP_079084	79866
NP_001106970	161357
NP_005104	9950
NP_001897	1504
NP_851565	50615
NP_077014	79091
NP_005819	10238
NP_057162	51030
NP_004250	9400
NP_942143	946
NP_060553	140467
NP_001078906	79919
NP_001116436	57223
NP_001001665	339761
NP_060621	55183
NP_443186	116159
NP_114038	185
NP_002213	3708
NP_006001	7873
NP_001012524	285331
NP_002090	2993
NP_899231	345062
NP_689612	132332
NP_055794	22987
NP_660325	153328
NP_001015051	860
NP_001006933	6196
NP_001012457	346653
NP_631918	221955
NP_060765	55281
NP_776193	286128
NP_116166	25960
NP_443749	445815
NP_612206	116224
NP_954586	286380
NP_001017975	164045
XP_001724434	-
XP_003118990	-
YP_003024033	4537
XP_001127575	-
NP_714921	169436
XP_002343795	-
NP_149038	56667
NP_059973	6835
NP_060405	55024
NP_001091976	90273
NP_036265	26958
YP_003024035	4538
XP_002344408	-
XP_001715142	-
YP_003024026	4535
XP_001129774	-
YP_003024038	4519
XP_938952	-
XP_001716986	-
NP_112598	83481
NP_056532	50489
NP_619524	6006
NP_001909	1629
XP_001715523	-
XP_001718035	-
NP_056219	25861
NP_758439	254958
NP_001017371	6670
XP_001717475	-
NP_001122062	1589
XP_373030	285556
YP_003024028	4512
XP_001134442	-
NP_112599	83482
XP_003120101	-
NP_009052	7376
XP_001128100	-
NP_001078921	647060
XP_001716781	-
NP_775952	285973
YP_003024030	4509
XP_001716531	-
NP_005318	3033
NP_777582	203054
XP_001715780	-
XP_001134398	-
NP_015564	2892
NP_000606	4684
XP_001717126	-
XP_933155	-
NP_002102	3064
NP_937798	8209
XP_001714437	-
NP_001091110	2525
NP_004314	573
XP_001720850	-
NP_002091	2994
YP_003024036	4540
NP_055604	9831
XP_001717320	-
YP_003024029	4513
YP_003024031	4508
YP_003024032	4514
YP_003024034	4539
YP_003024027	4536
NP_056179	23643
NP_001724	715
XP_003961040	259289
YP_003024037	4541
NP_001805	1075
XP_003119172	-
NP_008820	942
NP_001120860	653544
NP_001159818	29969
NP_694984	254065
NP_005365	4355
XP_003403749	-
NP_789787	5726
